IDADE,FX_ID,SEXO,LOCAL,PERIODO,p1,p2,p3a,p3b,p3c,p3d,p3e,p3f,p4,p5,nquest
22.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,60.0
16.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,8.0,1.0,64.0
19.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,10.0,1.0,65.0
18.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,71.0
17.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,72.0
16.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,74.0
18.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,10.0,1.0,76.0
16.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,78.0
17.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,8.0,1.0,80.0
16.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,81.0
17.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,83.0
16.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,84.0
20.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,6.0,1.0,88.0
17.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,6.0,1.0,95.0
18.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,98.0
18.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,101.0
18.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,102.0
17.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,103.0
18.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,6.0,1.0,104.0
16.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,107.0
18.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,108.0
18.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,110.0
23.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,1.0,112.0
20.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,113.0
21.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,1.0,115.0
16.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,116.0
15.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,117.0
16.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,9.0,1.0,118.0
21.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,119.0
16.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,120.0
17.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,121.0
19.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,122.0
21.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,9.0,1.0,125.0
20.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,1.0,127.0
18.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,1.0,129.0
